trial,value,best_val_loss,best_val_r2,epochs_trained,param_attention_heads,param_hidden_dim_1_base,param_hidden_dim_2_base,param_hidden_dim_3_base,param_coord_embed_base,param_dropout_rate,param_colonization_threshold,param_colonization_expert_weight,param_colonization_weight,param_jump_threshold,param_jump_expert_weight,param_jump_weight,param_decline_threshold,param_decline_expert_weight,param_decline_weight,param_pde_expert_weight,param_pde_weight,param_learning_rate,param_weight_decay
0,854.3700983663152,854.3700983663152,0.7386661022283857,33,3,31,13,6,3,0.16239780813448107,0.05871254182522992,0.846470458309974,6.41003510568888,156.21088666940682,0.508233797718321,9.72918866945795,86.59541126403374,0.5849356442713105,2.636424704863906,0.47336180394137356,3.7381801866358395,0.00011207606211860574,1.9762189340280077e-06
1,746.217395323316,746.217395323316,0.771747746231152,56,3,31,13,6,3,0.16239780813448107,0.05871254182522992,0.846470458309974,6.41003510568888,156.21088666940682,0.508233797718321,9.72918866945795,86.59541126403374,0.5849356442713105,2.636424704863906,0.47336180394137356,3.7381801866358395,0.00011207606211860574,1.9762189340280077e-06
2,706.7525666524051,706.7525666524051,0.7838192097821108,68,3,31,13,6,3,0.16239780813448107,0.05871254182522992,0.846470458309974,6.41003510568888,156.21088666940682,0.508233797718321,9.72918866945795,86.59541126403374,0.5849356442713105,2.636424704863906,0.47336180394137356,3.7381801866358395,0.00011207606211860574,1.9762189340280077e-06
3,694.1293332973243,694.1293332973243,0.7876803921683764,65,3,31,13,6,3,0.16239780813448107,0.05871254182522992,0.846470458309974,6.41003510568888,156.21088666940682,0.508233797718321,9.72918866945795,86.59541126403374,0.5849356442713105,2.636424704863906,0.47336180394137356,3.7381801866358395,0.00011207606211860574,1.9762189340280077e-06
4,691.9505427272454,691.9505427272454,0.7883468385166224,67,3,31,13,6,3,0.16239780813448107,0.05871254182522992,0.846470458309974,6.41003510568888,156.21088666940682,0.508233797718321,9.72918866945795,86.59541126403374,0.5849356442713105,2.636424704863906,0.47336180394137356,3.7381801866358395,0.00011207606211860574,1.9762189340280077e-06
5,708.1100976618342,708.1100976618342,0.7834039695124452,57,3,31,13,6,3,0.16239780813448107,0.05871254182522992,0.846470458309974,6.41003510568888,156.21088666940682,0.508233797718321,9.72918866945795,86.59541126403374,0.5849356442713105,2.636424704863906,0.47336180394137356,3.7381801866358395,0.00011207606211860574,1.9762189340280077e-06
6,921.1560234577031,921.1560234577031,0.7182376881794986,19,3,31,13,6,3,0.16239780813448107,0.05871254182522992,0.846470458309974,6.41003510568888,156.21088666940682,0.508233797718321,9.72918866945795,86.59541126403374,0.5849356442713105,2.636424704863906,0.47336180394137356,3.7381801866358395,0.00011207606211860574,1.9762189340280077e-06
7,1207.9397372067015,1207.9397372067015,0.6305165637221314,11,3,31,13,6,3,0.16239780813448107,0.05871254182522992,0.846470458309974,6.41003510568888,156.21088666940682,0.508233797718321,9.72918866945795,86.59541126403374,0.5849356442713105,2.636424704863906,0.47336180394137356,3.7381801866358395,0.00011207606211860574,1.9762189340280077e-06
8,1008.2411034254816,1008.2411034254816,0.6916001883076637,15,3,31,13,6,3,0.16239780813448107,0.05871254182522992,0.846470458309974,6.41003510568888,156.21088666940682,0.508233797718321,9.72918866945795,86.59541126403374,0.5849356442713105,2.636424704863906,0.47336180394137356,3.7381801866358395,0.00011207606211860574,1.9762189340280077e-06
9,944.4488046909062,944.4488046909062,0.7111129148274653,18,3,31,13,6,3,0.16239780813448107,0.05871254182522992,0.846470458309974,6.41003510568888,156.21088666940682,0.508233797718321,9.72918866945795,86.59541126403374,0.5849356442713105,2.636424704863906,0.47336180394137356,3.7381801866358395,0.00011207606211860574,1.9762189340280077e-06
10,717.8341906781866,717.8341906781866,0.7804295733636142,55,5,8,6,3,7,0.4630659181130071,0.193965611891813,0.5296480713060737,9.522656887511342,84.72528082300295,0.878204789548042,2.2703898624335253,37.65404112669709,0.8124897805145396,8.212185656078328,0.7144299083451704,7.943328122319691,0.0004993637883601218,2.214396068504149e-07
11,1635.0821923640885,1635.0821923640885,0.4998626434556517,11,5,22,16,8,5,0.2753991977825756,0.10232639337607534,0.7375386315314675,2.9492362457018393,198.8740092569891,0.6358350704309181,7.259174438107952,64.3373971841306,0.6971457481268195,5.2544260599215376,0.5855975253875391,1.1807419121509417,2.5508754249827804e-05,1.6486581733805815e-05
12,682.075378642268,682.075378642268,0.7913674441375308,48,2,25,9,4,5,0.2753991977825756,0.09865901148564998,0.7375386315314675,4.013156586009125,109.2620316434298,0.6175209522347848,7.259174438107952,66.27547611551614,0.6971457481268195,5.083062055825858,0.5855975253875391,6.15961879886106,0.0003429667321326434,2.967773209962217e-07
13,651.7688160277942,651.7688160277942,0.80063758614185,43,2,24,8,3,5,0.28101828772896026,0.10148634053251862,0.7197213913395483,3.957963373277293,106.9406365130335,0.6123043816958816,7.274403085060849,65.49390825002466,0.6973234646653289,5.2544260599215376,0.5972673213806948,6.638996847270607,0.0003928025332222,2.4772555771555616e-07
14,685.1496293902392,685.1496293902392,0.7904270952978056,33,2,24,7,3,5,0.29382962338804236,0.10999935801534491,0.7070223831512336,3.322899588471459,90.4317465984605,0.6216423427305698,6.541633372363899,64.65064958054076,0.6973131385315119,5.315623025985988,0.604358681197161,7.209013810147226,0.0005161887049382074,1.0587927902959176e-07
15,892.9078192352363,892.9078192352363,0.7268782215134972,17,2,17,9,2,6,0.3668025930301808,0.13737253241196468,0.6301439991885139,1.6065129344807514,51.976509869501044,0.7134420570816513,4.6650256298244726,50.00232439237377,0.7736800860721864,6.8003301061244645,0.604358681197161,9.775508877291248,0.0009901669196149719,4.4412796733158924e-07
16,618.1568972532604,618.1568972532604,0.8109187672853942,41,6,26,4,4,8,0.2449795801903029,0.08831651881477984,0.7654041500993731,4.013156586009125,111.69229076681152,0.6060292247669553,7.726547685746881,71.4948819038315,0.6625716649841811,4.315400175177539,0.659855253425183,6.15961879886106,0.0002915483137396438,5.582718517671988e-07
17,645.4168070833638,645.4168070833638,0.8025805324824374,41,6,16,4,4,8,0.23754701764520592,0.13976263655538884,0.6345641165370137,4.013156586009125,128.9888083091715,0.7083226522330952,5.040564463812794,74.005002867788,0.7603374726928884,4.10321315653985,0.6779792525738584,6.097922950796916,0.00025274856323168017,6.323728543271069e-07
18,675.3737103839836,675.3737103839836,0.7934173439302068,50,6,16,4,4,8,0.2208519255304879,0.14751260636891939,0.6433534083239045,1.6065129344807514,130.51607343359436,0.752777947090993,4.5457700096087645,75.60401249217716,0.7503576314424028,4.082643943639809,0.7543247864614636,8.334268356166843,0.00022823492438987062,6.323728543271069e-07
19,1382.8794080736018,1382.8794080736018,0.5770061867204672,11,6,11,4,4,8,0.3760988294276581,0.15944514965470896,0.6433534083239045,5.189528738756277,130.51607343359436,0.7936013575829896,2.856166496167418,51.61299062984317,0.8650273366490117,4.037322951700553,0.6718122305327543,4.844010750699986,4.286279852078057e-05,6.379953550240584e-06
20,698.7606103733586,698.7606103733586,0.7862637816242402,38,5,27,5,5,7,0.2208519255304879,0.07860916076001406,0.7925638632984677,8.05266659034115,68.83294580698106,0.5681139558702257,5.673911521838322,75.60401249217716,0.6621578190221395,6.351772612200354,0.6663781070511333,5.802997879472143,0.00022160908056912955,4.5594072390214954e-05
21,721.5303556450441,721.5303556450441,0.7792989940052744,37,6,18,7,3,6,0.2202259292197384,0.11955598806148636,0.5960174856097703,4.893645791055788,114.08057533426859,0.6956723536120895,7.726547685746881,73.09671279337185,0.6432918195211154,4.082643943639809,0.6478135772534398,6.546828280429639,0.0002344325678327022,7.668100411620167e-07
22,557.7952366399077,557.7952366399077,0.8293821335410931,47,4,21,6,2,7,0.3237354812337988,0.08667863344492623,0.7885373500676509,4.013156586009125,105.7023270725417,0.5927558911678276,6.0267225770136115,52.472311864708516,0.7430655159679573,6.986643578487314,0.5273145000499233,7.178984393429149,0.0009842407097068193,1.0420342200964321e-07
23,558.6918838289657,558.6918838289657,0.8291078679677889,46,4,14,5,2,7,0.33812988867882926,0.08153554389945462,0.7695355540825743,2.3877778531124934,118.57279074590834,0.6737520257556932,8.254453060125112,53.00171813647306,0.7560396654680563,8.44826617540144,0.5392499500528215,5.26537051417564,0.0009802044201212064,1.0585603428209005e-07
24,663.3781463080629,663.3781463080629,0.7970865354455979,39,4,13,6,2,7,0.34448030946226604,0.08188617332645819,0.7919468507945114,2.3877778531124934,90.66482732641732,0.6688417851080439,8.218138809244339,32.667297664671636,0.8127833926147228,9.837482852396969,0.5273145000499233,5.042510374008792,0.000996348416127449,1.0584556713314504e-07
25,631.6000328821938,631.6000328821938,0.8068067939861188,27,4,20,5,2,6,0.4208799472720689,0.08188617332645819,0.7919468507945114,2.3877778531124934,118.57279074590834,0.5833535829859108,8.218138809244339,53.495291236425516,0.6337205489663146,8.305075480367297,0.5273145000499233,8.071084958729553,0.0006669689910790164,1.5709693228666868e-07
26,588.4073719463945,588.4073719463945,0.8200185232578524,56,4,27,6,2,7,0.3248492963750184,0.08831651881477984,0.7695355540825743,4.893645791055788,139.78429771832162,0.5833535829859108,6.153224686495365,43.19350537437982,0.7391759041059334,7.58634062299952,0.4187633189364319,4.9361974382388425,0.0006669689910790164,3.8959201571571715e-07
27,549.2326213996414,549.2326213996414,0.8320012579932905,67,4,27,6,2,7,0.3248492963750184,0.08831651881477984,0.7695355540825743,4.893645791055788,139.78429771832162,0.5833535829859108,6.153224686495365,43.19350537437982,0.7391759041059334,7.58634062299952,0.4187633189364319,4.9361974382388425,0.0006669689910790164,3.8959201571571715e-07
28,1040.3927774462654,1040.3927774462654,0.6817656654143646,11,4,13,11,2,6,0.40326281053976487,0.07526576021140104,0.8835852799327918,2.705156081566563,194.05750117413066,0.5480571123768981,4.204821010014943,27.54515563240801,0.7987976455839964,9.51131581752651,0.4229557134433338,2.0782176795602387,0.0007424594118189796,1.6202742618368522e-07
29,1963.3173327862585,1963.3173327862585,0.3994623967754821,11,4,21,7,3,4,0.3158133448186491,0.11830103266958059,0.6898337105523886,7.70194809505662,143.11974270716937,0.6580375686493298,8.828098767694765,44.17440522498393,0.8849843719734976,8.834098467681429,0.5273145000499233,9.194014751776788,1.4022487868824743e-05,9.808781734047834e-07
30,604.3804215488369,604.3804215488369,0.8151327023239416,45,5,14,11,8,7,0.4439836389304148,0.07526576021140104,0.6898337105523886,5.451798712798487,102.20877494935834,0.5480571123768981,6.540008740402991,56.98756691373163,0.7236114502935903,7.021538610356891,0.5568679756834303,7.209013810147226,0.00046855614423921206,1.6202742618368522e-07
31,822.66929046282,822.66929046282,0.7483627146306349,15,4,27,6,2,7,0.3316254010508273,0.0935100711694658,0.7606071210052325,4.68246666274058,140.97465637500056,0.5843988614015443,5.9091898471271795,43.98801730375808,0.7271346785856432,7.646004863581341,0.40524422791449094,4.658167312150433,0.0007122170278762228,3.562305153339865e-07
32,654.8653855903217,654.8653855903217,0.7996904104447562,25,4,29,5,2,7,0.35854388732923137,0.10859095652706986,0.8005672195250383,3.417977749341608,141.26117516637643,0.6540119614987754,3.8634882822398025,43.98801730375808,0.7913227812384533,6.122277392227244,0.43863440803649845,5.348143693547763,0.0007122170278762228,1.12436558408765e-06
33,772.7831165107156,772.7831165107156,0.7636218491775306,17,4,23,8,2,6,0.3176948957255109,0.08878380985398053,0.7606071210052325,4.68246666274058,184.17977710149455,0.5843988614015443,6.249014067067106,35.50778213153707,0.7271346785856432,7.646004863581341,0.43863440803649845,4.658167312150433,0.0009969345024696621,1.0194910977689505e-07
34,597.958174913213,597.958174913213,0.8170971329014483,36,5,29,6,3,2,0.39327933776180835,0.06707449540966576,0.8005672195250383,2.1100665974720263,136.6978563788276,0.5386054702940146,5.552669945797307,48.22682882792523,0.7446846033440662,8.77493877349171,0.5034487701144117,5.513342492380526,0.0005722594303804291,7.0612604030997806e-06
35,939.4658685404471,939.4658685404471,0.7126370905085155,11,4,29,8,2,8,0.3393912722544065,0.06707449540966576,0.8803430974554443,3.417977749341608,103.50357424888162,0.6771740613370585,6.607448003076824,56.98756691373163,0.7723200720781254,7.383476583947449,0.5034487701144117,7.424618740313271,0.00018310654660099737,2.101376915764335e-07
36,994.5438263120187,994.5438263120187,0.6957898981579544,11,5,9,5,3,7,0.3034657805455815,0.0935100711694658,0.6708610455122835,5.928024169633634,146.55722048726244,0.7351799524354927,8.828098767694765,40.01552058076593,0.8208296875117662,6.122277392227244,0.40524422791449094,3.235351757320631,0.00037403627398723715,3.637444993329046e-07
37,875.2841874603714,875.2841874603714,0.7322689209228326,12,4,18,7,5,6,0.11549007998447319,0.11187453597037152,0.7296404816184362,7.368592125592221,77.41614333279803,0.7873521528567009,3.8634882822398025,29.75000396240891,0.6761257755000888,8.143488294825584,0.4444224196411702,4.658167312150433,0.0001525342151796965,1.5069144222128222e-07
38,1228.84448362555,1228.84448362555,0.6241222401450174,11,4,21,9,2,4,0.38238687991091314,0.12989782636605998,0.7606071210052325,4.240907556201282,184.17977710149455,0.5943916777416247,6.07226027280937,59.7005155522512,0.7271346785856432,8.77493877349171,0.5034487701144117,3.235351757320631,8.102233969606828e-05,1.12436558408765e-06
39,566.5528975949198,566.5528975949198,0.826703348694676,63,3,27,5,3,7,0.416138853575415,0.06707449540966576,0.8314826855384384,5.928024169633634,146.55722048726244,0.5386054702940146,8.828098767694765,40.01552058076593,0.6168953862007945,6.617046503978646,0.552328140209015,5.290137584581421,0.0007796773760146614,4.7477988373411935e-07
40,1300.2933104030399,1300.2933104030399,0.6022675422469121,11,3,25,5,3,8,0.4208799472720689,0.05084751870704053,0.8696334858145631,5.901844814134637,116.79589963680269,0.6501636947566638,8.828098767694765,48.22682882792523,0.5538237027877302,6.617046503978646,0.5604682948981131,6.882672659705423,7.333782036791709e-05,2.4033562004292015e-07
41,560.0311182553326,560.0311182553326,0.8286982242392202,75,3,27,6,2,7,0.35510011010064646,0.06894159234413633,0.8252921039723262,5.9089176446298035,121.17104852734576,0.5321172985220387,5.293351357810203,41.60360535234134,0.6168953862007945,7.075360403136699,0.5582832657005561,5.285691914224152,0.0008692860854713632,3.813268984865604e-07
42,613.9976355155338,613.9976355155338,0.8121909982352494,30,3,29,5,2,7,0.35510011010064646,0.06860822857742488,0.83534736484802,5.7379162374002926,122.6682301663486,0.5295336376068768,5.091604299828809,37.71176840896078,0.6168953862007945,7.075360403136699,0.5573836688643071,5.533437005986002,0.0008979992030127264,1.409585637074062e-07
43,799.9306390929886,799.9306390929886,0.7553179912770327,14,3,20,16,3,7,0.41562827799572705,0.05091039606712275,0.83534736484802,5.337875586773371,163.56497337539216,0.5678268488509423,3.222021667640255,32.656517743058004,0.5538237027877302,8.004534643670643,0.6278397052148378,5.351321038460136,0.0005785791782092135,1.4204320290153938e-06
44,842.8327103643127,842.8327103643127,0.7421951472902765,12,3,26,6,2,6,0.44821132161728827,0.07003163740767793,0.8695766482586936,7.465985721091565,97.68659853034072,0.5295336376068768,5.091604299828809,40.68199673545043,0.6120713658973291,9.24451461323449,0.5700135689981838,5.947731399718705,0.000429777934282636,2.8994961903688407e-07
45,674.78164055451,674.78164055451,0.7935984456759084,40,3,23,7,3,8,0.30312280898987265,0.08462904903741952,0.83534736484802,5.929797740894588,163.56497337539216,0.5678268488509423,8.243832678569301,56.22638631668524,0.6120713658973291,7.21336390171172,0.533261540019535,3.968937001448836,0.0007558742764370909,2.076507320955504e-07
